name,province,latitude,longitude
ZIEKENHUISNETWERK ANTWERPEN (ZNA),ANT,51.2313796,4.415252
GZA- ZIEKENHUIZEN,ANT,51.2060094,4.4126797
AZ MONICA,ANT,51.2063667,4.4702018
ZIEKENHUISNETWERK ANTWERPEN (ZNA),ANT,51.1833252,4.4216539
GZA- ZIEKENHUIZEN,ANT,51.17522349999999,4.4166534
ZIEKENHUISNETWERK ANTWERPEN (ZNA),ANT,51.2588675,4.4514227
AZ KLINA,ANT,51.299696,4.48903
UNIVERSITAIR ZIEKENHUIS ANTWERPEN,ANT,51.1549925,4.4117088
AZ HERENTALS,ANT,51.1846342,4.8356473
AZ TURNHOUT,ANT,51.3133559,4.941332099999999
AZ VOORKEMPEN,ANT,51.2742932,4.6444488
ZIEKENHUIS GEEL,ANT,51.159778,5.000853999999999
HEILIG HART ZIEKENHUIS ,ANT,51.1324537,4.564133099999999
AZ SINT-MAARTEN,ANT,51.0521063,4.4751994
IMELDA  ZIEKENHUIS,ANT,51.0173887,4.5602291
UNIVERSITAIR ZIEKENHUIS GENT,OVL,51.0257109,3.7281612
AZ SINT-LUCAS,OVL,51.0618537,3.7215097
AZ JAN PALFIJN,OVL,51.0492296,3.7002086
VITAZ,OVL,51.1621435,4.1501763
AZ SINT-BLASIUS,OVL,51.0260712,4.1136746
ONZE-LIEVE-VROUW ZIEKENHUIS,OVL,50.9427051,4.0540559
A.S.Z. - AUTONOME VERZORGINGSINSTELLING,OVL,50.93486979999999,4.0181449
A.S.Z. - AUTONOME VERZORGINGSINSTELLING,OVL,50.770777,3.8772983
AZ GLORIEUX,OVL,50.7535563,3.6075352
AZ SINT-ELISABETH,OVL,50.8642682,3.816776099999999
AZ OUDENAARDE,OVL,50.8426069,3.6014671
AZ ALMA,OVL,51.1908238,3.5328549
AZ SINT-JAN,WVL,51.2201159,3.1934726
AZ ZENO,WVL,51.3277047,3.291228
AZ OOSTENDE ,WVL,51.2189802,2.9333611
AZ GROENINGE,WVL,50.8015682,3.2651711
AZ WEST,WVL,51.0621679,2.6685368
SINT-ANDRIES ZIEKENHUIS,WVL,51.0023513,3.3234104
AZ DELTA,WVL,50.9182128,3.1702882
AZ DELTA,WVL,51.0703409,3.0956656
JAN YPERMAN ZIEKENHUIS,WVL,50.8649802,2.8975616
AZ DELTA,WVL,50.7927247,3.1225338
SINT-TRUDO ZIEKENHUIS,LIM,50.8234929,5.1859245
JESSA ZIEKENHUIS,LIM,50.9259632,5.3420969
SINT- FRANCISCUS ZIEKENHUIS,LIM,51.0461409,5.3172668
ZIEKENHUIS OOST - LIMBURG,LIM,50.95715089999999,5.5177577
ZIEKENHUIS OOST - LIMBURG,LIM,51.1014955,5.7682364
AZ VESALIUS,LIM,50.7890923,5.4835772
NOORDERHART,LIM,51.2121818,5.4170402
ALGEMEEN ZIEKENHUIS SINT-MARIA,VBR,50.7350955,4.2284849
UZ LEUVEN,VBR,50.8782805,4.668996
AZ JAN PORTAELS,VBR,50.9276494,4.4152496
RZ HEILIG HART TIENEN,VBR,50.8113342,4.9334815
AZ DIEST,VBR,50.988508,5.0509244
UVC BRUGMANN,BXL,50.8706495,4.3870214
ERASMUSZIEKENHUIS (ULB),BXL,50.8146058,4.267040199999999
UMC SINT-PIETER,BXL,50.83422359999999,4.3472456
UNIVERSITAIR ZIEKENHUIS ST. LUC (UCL),BXL,50.8529343,4.4520088
EUROPAZIEKENHUIZEN ,BXL,50.805155,4.3685449
UNIVERSITAIR ZIEKENHUIS BRUSSEL,BXL,50.8876195,4.3069316
KLINIEK SINT-JAN,BXL,50.8544225,4.3604063
CHIREC - DELTA,BXL,50.8163956,4.3989398
IRIS ZIEKENHUIZEN ZUID ,BXL,50.8251858,4.3787626
CLINIQUE SAINT PIERRE,WBR,50.6680736,4.560620699999999
GROUPE JOLIMONT ,WBR,50.5953543,4.3177933
CHIREC - SARE,WBR,50.6848136,4.3663969
CHU AMBROISE PARE,HAI,50.4579207,3.960965
GROUPE JOLIMONT ,HAI,50.4542577,3.9600001
CLINIQUE NOTRE-DAME DE GRACE,HAI,50.4743856,4.427354999999999
CHU TIVOLI,HAI,50.47791669999999,4.2076027
GROUPE JOLIMONT ,HAI,50.4778168,4.2155692
CENTRE HOSPITALIER EPICURA,HAI,50.4404429,3.8444085
GROUPE JOLIMONT,HAI,50.4173699,3.8069967
CHWAPI,HAI,50.5999059,3.3850053
CENTRE HOSPITALIER DE MOUSCRON,HAI,50.7489085,3.2199649
CENTRE HOSPITALIER EPICURA,HAI,50.6347793,3.7765423
GRAND HOPITAL DE CHARLEROI,HAI,50.4179332,4.453585800000001
CHR HAUTE SENNE,HAI,50.5822555,4.0790582
CENTRE DE SANTE DES FAGNES,HAI,50.04575089999999,4.313685899999999
CHU CHARLEROI -  ANDRE VESALE,HAI,50.3619357,4.3642107
GROUPE JOLIMONT,HAI,50.34589709999999,4.2606331
CHU CHARLEROI,HAI,50.4311719,4.4402722
CHR SAMBRE ET MEUSE,NAM,50.467548,4.887639399999999
CHR SAMBRE ET MEUSE,NAM,50.43524559999999,4.627241199999999
CHU-UCL NAMUR,NAM,50.264409,4.9434336
CHU-UCL NAMUR,NAM,50.3589091,4.8809781
HOPITAL DE LA CITADELLE,LIE,50.6547005,5.5733779
CHU DE LIEGE,LIE,50.6225372,5.6363002
CENTRE HOSPITALIER BOIS DE L'ABBAYE,LIE,50.5808245,5.4937605
GROUPE SANTE CHC,LIE,50.6477958,5.5344905
GROUPE SANTE CHC ,LIE,50.6947542,5.247888199999999
CENTRE HOSPITALIER REGIONAL DE HUY,LIE,50.51418289999999,5.239815699999999
ST.-NIKOLAUS HOSPITAL,LIE,50.6290832,6.0293993
KLINIK ST.-JOSEF,LIE,50.278201,6.126905499999999
CHR VERVIERS - EAST BELGIUM,LIE,50.5824901,5.859809
VIVALIA ,LUX,50.1591335,5.6831144
VIVALIA ,LUX,49.6780956,5.8206915
VIVALIA ,LUX,49.9251862,5.381384
VIVALIA ,LUX,50.2278195,5.3233301
